x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,expect
1,2.33,0.33,3.33,1.33,2,1.13,1.76,1.24,2,1,2.67,2,0.33,2,2,1.67,0.38,2.5,1.18,1.88,0.33,2,2,1.67,1
1,1,0.666666667,0.67,1.33,0.78,1.22,0.71,1.53,1,0.67,0.67,1.33,2,1.67,1.67,2,1.5,2,1.24,1.41,1.33,2.33,0.67,1.67,0
1,1.33,1,0.67,2,1.13,1.38,1.12,1.59,1.33,1,0.33,1.33,0,1,1,0.67,0.88,0.88,1.65,0.76,0.33,1,1.33,1,1
1,1.33,1,1,1.67,2,1.75,1.59,1.59,2,1,1,1.67,1.33,0.67,1.33,1.67,1,1.33,1.06,1.29,0.67,1.33,1.33,1.33,0
1,0.33,1.33,0.33,1.67,1.38,1.63,0.88,1.71,0.33,1.33,0.33,1.67,1.67,0.67,2.67,0.67,1.38,1.63,1.29,1.35,1.33,1.67,1.33,0.67,1
1,2.67,0.33,2,0.67,2.11,0.67,1.76,1.06,2.67,0.33,2,0.67,0.67,3,0.33,3,0.78,1.67,1,1.41,0.67,2,1,2,1
1,0.67,1.67,0.67,0.33,1,1.33,0.88,1.41,0.67,1.67,0.67,0.33,0.33,2,0,1,0.78,1.44,0.88,1.41,0.33,2,0,1,1
1,1.33,1,1,1.67,1.56,0.78,1.29,1.12,1.33,1,1,1.67,0.67,0.67,1,1,0.44,1.11,0.65,1.24,0.67,0.67,1,1,0
1,0.67,1,1,1,1.33,1.44,1,1.35,0.67,1,1,1,2.33,0.33,2,0,2.33,1,2.12,0.63,2.67,0.33,1.67,0,1
1,2.67,0.33,2.33,0.33,2.5,0.38,2.24,0.76,2.33,0,1.67,0.67,1.33,1.67,2,0.67,1.88,1.5,1.71,1.12,1.33,1.33,2,0.67,0
1,1,1,0.33,1.67,2.43,0.57,1.71,0.71,1,1,0.33,1.67,1.33,1.33,2.33,0.67,1.33,1.67,1.71,1.14,1.33,1.33,2.33,0.67,1
1,0.67,1.67,1,0.67,0.67,1.5,0.57,1.29,0.67,1.67,1,0.67,0.67,2.33,1,2,0.43,1.71,1,1.71,0.67,2.33,1,2,1
1,1,0.33,1.33,1,1.29,0.86,1.64,1.21,1,0.33,1.33,1,0.67,1.33,1.33,1,1,1.5,1.36,1,0.67,1.33,1.33,1,1
1,2,1.67,3.33,1,1.83,0.83,2.21,1,2.33,0.67,3,0.67,1.33,1,1.33,1,1.57,1.29,1.71,1.57,1.67,1.33,1.33,1.33,0
1,1,1,0.67,2,1.33,1.67,1.07,1.5,1,1,0.67,2,0.67,1.33,0.33,1.67,0.5,1.17,1,1.43,0.67,1.33,0.33,1.67,0
1,1.33,1,2,1,1,0.86,1.36,1.36,0.67,0.67,1.67,1.33,1,3,0.33,1.33,0.83,2,0.93,1.84,1,3,0.33,1.33,0
1,2.33,1.33,1,1.33,1.71,1.43,1,1.93,2.33,1.33,1,1.67,1.33,2,1.33,1,0.67,1.83,0.71,1.57,1.33,2,1.33,1,0
1,1.67,2.33,0.67,1.67,1,1.17,1,1.29,1.67,1.67,0.67,1.67,1.33,0.67,1.33,0,1.43,1,1.57,1.07,1.33,0.67,1,0.67,1
1,1.33,1,1,1.33,1.29,1.29,1.29,1.5,1.33,1.67,1.33,1.67,1,1.33,1.33,1,1.43,1.86,1.29,1.64,0.33,0.67,1.33,1,0
1,1,0,0.67,0.67,1.33,1.17,1,1.29,1,0,0.67,0.67,2.33,0.33,2.67,0,2.14,1.14,2.36,0.79,1,0.67,1.67,0,1
1,1.33,0.67,1.33,1,1.17,1.33,1.33,1.42,1,1.33,1.67,1.33,2,0.67,1.67,0.67,1.67,1.17,1.83,1.58,1.67,1.33,1,0.67,1
1,3.67,0,1.33,0.33,2.83,0.17,2,0.5,3.67,0,1.33,0.33,1.67,2,2.33,1.67,2.17,1.33,2,1.08,1.67,1.33,1.67,1,1
1,1.33,1.33,1.33,0.67,1.17,1.17,1,1.58,1.33,1.33,1.33,0.67,2.67,0.67,3,0.33,2.5,1.33,2.5,0.92,1.67,1,2,0.67,0
1,1,2,1,1.33,0.67,1.5,0.67,1.67,1,2,1,1.33,0,1.67,0.67,1,0.33,1.33,0.5,1.42,0,1.67,0.67,1,0
1,1,1,1.33,2.33,1,1,1.25,1.5,1,1,0.67,2,1,1.67,1.67,1.67,1.17,1.33,1.08,1.25,1,1.67,1.67,1.67,0
1,1.33,0.67,1,0.67,1.83,0.83,1.58,1.25,1.33,0.67,1,0.67,0.67,1,0.33,1.33,1,1.17,1.17,1.42,1.33,1.67,0.33,1.33,1
1,2,1.67,1,1.67,1.5,1.33,0.92,1.92,2,1.67,1,1.67,0,1.67,0,1,0.17,1.5,0.92,1.5,0,1.67,0,1,1
1,2,1,1,1,1.67,0.67,1.33,1.08,2,1,1,1,0.67,1.67,1.33,1.67,1.5,2,1.47,1.75,0.67,1.67,1.33,1.67,0
1,1.33,2,0.33,1.33,1.67,1.67,1.08,1.42,1.33,2,0.33,1.33,1.33,0.67,1.33,1.33,1.5,1.17,1.67,1.25,1,1.33,1.67,1.33,0
1,1.33,0.33,1,1.33,1.33,1,1.67,1.33,1.33,0.33,1,1.33,2,0.33,1.33,0,0.83,1.5,1.08,1.33,1.67,1.33,1.33,0,0
1,2.33,0.67,1,0.67,1.6,0.6,1.3,1,1.33,1,1,0.67,1.33,1,2.67,1,1.6,1,1.8,1.1,1.67,0.67,2.33,0.67,1
1,1,1,1,3.67,1.2,1.2,1.1,1.8,1,1,1,1.67,1.33,1,2,0.33,1.8,1.2,1.9,1.7,1.67,1.33,2,0.33,0
1,2.67,1,2,0.67,1.2,1.2,1.3,1.4,0.67,1,1.33,2.33,1,1.67,1.33,2,1,1.4,1,1.2,1,2,1.33,1.33,1
